name,gene
"KEGG_PANCREATIC_CANCER","MAPK8"
"KEGG_PANCREATIC_CANCER","PLD1"
"KEGG_PANCREATIC_CANCER","PIK3CB"
"KEGG_PANCREATIC_CANCER","RAC1"
"KEGG_PANCREATIC_CANCER","SMAD3"
"KEGG_PANCREATIC_CANCER","RAD51"
"KEGG_PANCREATIC_CANCER","STAT3"
"KEGG_PANCREATIC_CANCER","TP53"
"KEGG_PANCREATIC_CANCER","CCND1"
"KEGG_PANCREATIC_CANCER","RALB"
"KEGG_PANCREATIC_CANCER","KRAS"
"KEGG_PANCREATIC_CANCER","RALBP1"
"KEGG_PANCREATIC_CANCER","AKT3"
"KEGG_PANCREATIC_CANCER","PIK3R2"
"KEGG_PANCREATIC_CANCER","MAPK9"
"KEGG_PANCREATIC_CANCER","SMAD4"
"KEGG_PANCREATIC_CANCER","SMAD2"
"KEGG_PANCREATIC_CANCER","PIK3R1"
"KEGG_PANCREATIC_CANCER","RELA"
"KEGG_PANCREATIC_CANCER","ERBB2"
"KEGG_PANCREATIC_CANCER","PIK3CD"
"KEGG_PANCREATIC_CANCER","EGF"
"KEGG_PANCREATIC_CANCER","PIK3CA"
"KEGG_PANCREATIC_CANCER","MAPK1"
"KEGG_PANCREATIC_CANCER","ARAF"
"KEGG_PANCREATIC_CANCER","NFKB1"
"KEGG_PANCREATIC_CANCER","STAT1"
"KEGG_PANCREATIC_CANCER","E2F2"
"KEGG_PANCREATIC_CANCER","RALA"
"KEGG_PANCREATIC_CANCER","FIGF"
"KEGG_PANCREATIC_CANCER","MAPK3"
"KEGG_PANCREATIC_CANCER","BRCA2"
"KEGG_PANCREATIC_CANCER","RAF1"
"KEGG_PANCREATIC_CANCER","MAP2K1"
"KEGG_PANCREATIC_CANCER","BAD"
"KEGG_PANCREATIC_CANCER","TGFA"
"KEGG_PANCREATIC_CANCER","BCL2L1"
"KEGG_PANCREATIC_CANCER","IKBKG"
"KEGG_PANCREATIC_CANCER","CASP9"
"KEGG_PANCREATIC_CANCER","PIK3R5"
"KEGG_PANCREATIC_CANCER","PGF"
"KEGG_PANCREATIC_CANCER","CDC42"
"KEGG_PANCREATIC_CANCER","CDK4"
"KEGG_PANCREATIC_CANCER","CHUK"
"KEGG_PANCREATIC_CANCER","RAC3"
"KEGG_PANCREATIC_CANCER","PIK3CG"
"KEGG_PANCREATIC_CANCER","JAK1"
"KEGG_PANCREATIC_CANCER","TGFBR2"
"KEGG_PANCREATIC_CANCER","AKT2"
"KEGG_PANCREATIC_CANCER","IKBKB"
"KEGG_PANCREATIC_CANCER","TGFB2"
"KEGG_PANCREATIC_CANCER","AKT1"
"KEGG_PANCREATIC_CANCER","VEGFC"
"KEGG_PANCREATIC_CANCER","RB1"
"KEGG_PANCREATIC_CANCER","CDKN2A"
"KEGG_PANCREATIC_CANCER","TGFB3"
"KEGG_PANCREATIC_CANCER","E2F3"
"KEGG_PANCREATIC_CANCER","TGFB1"
"KEGG_PANCREATIC_CANCER","PIK3R3"
"KEGG_PANCREATIC_CANCER","VEGFA"
"KEGG_PANCREATIC_CANCER","RAC2"
"KEGG_PANCREATIC_CANCER","MAPK10"
"KEGG_PANCREATIC_CANCER","RALGDS"
"KEGG_PANCREATIC_CANCER","VEGFB"
"KEGG_PANCREATIC_CANCER","E2F1"
"KEGG_PANCREATIC_CANCER","BRAF"
"KEGG_PANCREATIC_CANCER","CDK6"
"KEGG_PANCREATIC_CANCER","EGFR"
"KEGG_PANCREATIC_CANCER","TGFBR1"
"KEGG_PANCREATIC_CANCER","ARHGEF6"
"KEGG_BASAL_CELL_CARCINOMA","WNT3"
"KEGG_BASAL_CELL_CARCINOMA","GLI2"
"KEGG_BASAL_CELL_CARCINOMA","WNT7B"
"KEGG_BASAL_CELL_CARCINOMA","TP53"
"KEGG_BASAL_CELL_CARCINOMA","FZD3"
"KEGG_BASAL_CELL_CARCINOMA","DVL1"
"KEGG_BASAL_CELL_CARCINOMA","APC2"
"KEGG_BASAL_CELL_CARCINOMA","BMP2"
"KEGG_BASAL_CELL_CARCINOMA","FZD6"
"KEGG_BASAL_CELL_CARCINOMA","WNT5A"
"KEGG_BASAL_CELL_CARCINOMA","SMO"
"KEGG_BASAL_CELL_CARCINOMA","FZD5"
"KEGG_BASAL_CELL_CARCINOMA","WNT9A"
"KEGG_BASAL_CELL_CARCINOMA","STK36"
"KEGG_BASAL_CELL_CARCINOMA","FZD8"
"KEGG_BASAL_CELL_CARCINOMA","CTNNB1"
"KEGG_BASAL_CELL_CARCINOMA","DVL2"
"KEGG_BASAL_CELL_CARCINOMA","WNT3A"
"KEGG_BASAL_CELL_CARCINOMA","WNT5B"
"KEGG_BASAL_CELL_CARCINOMA","APC"
"KEGG_BASAL_CELL_CARCINOMA","WNT11"
"KEGG_BASAL_CELL_CARCINOMA","SHH"
"KEGG_BASAL_CELL_CARCINOMA","WNT16"
"KEGG_BASAL_CELL_CARCINOMA","WNT7A"
"KEGG_BASAL_CELL_CARCINOMA","WNT9B"
"KEGG_BASAL_CELL_CARCINOMA","PTCH1"
"KEGG_BASAL_CELL_CARCINOMA","GLI3"
"KEGG_BASAL_CELL_CARCINOMA","WNT8B"
"KEGG_BASAL_CELL_CARCINOMA","LEF1"
"KEGG_BASAL_CELL_CARCINOMA","SUFU"
"KEGG_BASAL_CELL_CARCINOMA","PTCH2"
"KEGG_BASAL_CELL_CARCINOMA","AXIN1"
"KEGG_BASAL_CELL_CARCINOMA","WNT2B"
"KEGG_BASAL_CELL_CARCINOMA","WNT2"
"KEGG_BASAL_CELL_CARCINOMA","FZD10"
"KEGG_BASAL_CELL_CARCINOMA","FZD7"
"KEGG_BASAL_CELL_CARCINOMA","GLI1"
"KEGG_BASAL_CELL_CARCINOMA","AXIN2"
"KEGG_BASAL_CELL_CARCINOMA","WNT6"
"KEGG_BASAL_CELL_CARCINOMA","FZD2"
"KEGG_BASAL_CELL_CARCINOMA","FZD9"
"KEGG_BASAL_CELL_CARCINOMA","FZD1"
"KEGG_BASAL_CELL_CARCINOMA","WNT10B"
"KEGG_BASAL_CELL_CARCINOMA","HHIP"
"KEGG_BASAL_CELL_CARCINOMA","DVL3"
"KEGG_BASAL_CELL_CARCINOMA","FZD4"
"KEGG_BASAL_CELL_CARCINOMA","BMP4"
"KEGG_BASAL_CELL_CARCINOMA","GSK3B"
"KEGG_BASAL_CELL_CARCINOMA","WNT10A"
"KEGG_BASAL_CELL_CARCINOMA","TCF7"
"KEGG_BASAL_CELL_CARCINOMA","WNT8A"
"KEGG_BASAL_CELL_CARCINOMA","WNT1"
"KEGG_BASAL_CELL_CARCINOMA","TCF7L2"
"KEGG_BASAL_CELL_CARCINOMA","WNT4"
"KEGG_BASAL_CELL_CARCINOMA","TCF7L1"
"KEGG_ENDOMETRIAL_CANCER","CTNNA2"
"KEGG_ENDOMETRIAL_CANCER","PIK3CB"
"KEGG_ENDOMETRIAL_CANCER","FOXO3"
"KEGG_ENDOMETRIAL_CANCER","TP53"
"KEGG_ENDOMETRIAL_CANCER","CCND1"
"KEGG_ENDOMETRIAL_CANCER","MAP2K2"
"KEGG_ENDOMETRIAL_CANCER","KRAS"
"KEGG_ENDOMETRIAL_CANCER","AKT3"
"KEGG_ENDOMETRIAL_CANCER","PIK3R2"
"KEGG_ENDOMETRIAL_CANCER","APC2"
"KEGG_ENDOMETRIAL_CANCER","CTNNA3"
"KEGG_ENDOMETRIAL_CANCER","SOS2"
"KEGG_ENDOMETRIAL_CANCER","PIK3R1"
"KEGG_ENDOMETRIAL_CANCER","ELK1"
"KEGG_ENDOMETRIAL_CANCER","ERBB2"
"KEGG_ENDOMETRIAL_CANCER","PIK3CD"
"KEGG_ENDOMETRIAL_CANCER","EGF"
"KEGG_ENDOMETRIAL_CANCER","PIK3CA"
"KEGG_ENDOMETRIAL_CANCER","MAPK1"
"KEGG_ENDOMETRIAL_CANCER","CDH1"
"KEGG_ENDOMETRIAL_CANCER","ARAF"
"KEGG_ENDOMETRIAL_CANCER","PTEN"
"KEGG_ENDOMETRIAL_CANCER","CTNNB1"
"KEGG_ENDOMETRIAL_CANCER","APC"
"KEGG_ENDOMETRIAL_CANCER","MAPK3"
"KEGG_ENDOMETRIAL_CANCER","RAF1"
"KEGG_ENDOMETRIAL_CANCER","MLH1"
"KEGG_ENDOMETRIAL_CANCER","MAP2K1"
"KEGG_ENDOMETRIAL_CANCER","BAD"
"KEGG_ENDOMETRIAL_CANCER","CTNNA1"
"KEGG_ENDOMETRIAL_CANCER","GRB2"
"KEGG_ENDOMETRIAL_CANCER","HRAS"
"KEGG_ENDOMETRIAL_CANCER","CASP9"
"KEGG_ENDOMETRIAL_CANCER","LEF1"
"KEGG_ENDOMETRIAL_CANCER","PIK3R5"
"KEGG_ENDOMETRIAL_CANCER","NRAS"
"KEGG_ENDOMETRIAL_CANCER","AXIN1"
"KEGG_ENDOMETRIAL_CANCER","ILK"
"KEGG_ENDOMETRIAL_CANCER","PDPK1"
"KEGG_ENDOMETRIAL_CANCER","AXIN2"
"KEGG_ENDOMETRIAL_CANCER","PIK3CG"
"KEGG_ENDOMETRIAL_CANCER","AKT2"
"KEGG_ENDOMETRIAL_CANCER","SOS1"
"KEGG_ENDOMETRIAL_CANCER","AKT1"
"KEGG_ENDOMETRIAL_CANCER","GSK3B"
"KEGG_ENDOMETRIAL_CANCER","PIK3R3"
"KEGG_ENDOMETRIAL_CANCER","TCF7"
"KEGG_ENDOMETRIAL_CANCER","TCF7L2"
"KEGG_ENDOMETRIAL_CANCER","MYC"
"KEGG_ENDOMETRIAL_CANCER","BRAF"
"KEGG_ENDOMETRIAL_CANCER","EGFR"
"KEGG_ENDOMETRIAL_CANCER","TCF7L1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3CB"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","FOXO3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RXRG"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","TP53"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CCND1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","MAP2K2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","KRAS"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","AKT3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3R2"
